Points0,Points1,Points2,,intensity,filtered
169,193.7940762,131,,730.4428,0
0,193.7940762,127,,1221.636,9.918
68,193.7940762,66,,856.5742,0
52,193.7940762,144,,859.6638,0
183,193.7940762,94,,698.0478,0
57,193.7940762,61,,1003.3264,0
94,193.2299013,0,,1285.8556,0
174,193.2299013,8,,938.9472,4.8916
97,193.2299013,5,,1222.1998,0
103,193.2299013,27,,1243.4474,2.7192
143,193.2299013,50,,1020.3984,0
163,193.2299013,70,,953.501,0
162,193.2299013,95,,1149.6288,1.7872
138,193.2299013,110,,1079.8942,0
107,193.2299013,117,,1071.9216,0
97,193.2299013,104,,915.0162,0
114,193.2299013,93,,895.988,0
121,193.2299013,75,,1044.1596,0
178,193.2299013,153,,737.8114,0
148,193.2299013,176,,716.8888,0
7,193.2299013,178,,1037.5448,0
2,193.2299013,168,,1059.9752,1.2
17,193.2299013,116,,1166.8886,0
31,193.2299013,41,,1070.1666,0
116,193.2299013,146,,752.6138,0
118,193.2299013,17,,951.871,0
149,193.2299013,38,,825.266,0
194,193.2299013,154,,848.2048,0
55,193.2299013,167,,753.1574,0
59,193.2299013,96,,1082.9304,1.8606
83,193.2299013,119,,897.9382,0
111,193.2299013,175,,705.903,3.4312
81,193.2299013,156,,625.6328,0
97,193.2299013,59,,1176.1016,0.3856
27,193.2299013,142,,891.9972,0
80,193.2299013,66,,1112.562,0
70,193.2299013,124,,792.0642,1.3448
61,193.2299013,26,,900.3652,0
139,193.2299013,58,,1059.2888,0
137,193.2299013,163,,741.0238,0
169,193.2299013,131,,729.3284,0
0,193.2299013,127,,1211.8852,0
68,193.2299013,66,,840.9,0
52,193.2299013,144,,858.9554,0
183,193.2299013,94,,691.7812,0
57,193.2299013,61,,993.3836,0
94,192.6657264,0,,1286.6612,0.8056
174,192.6657264,8,,926.4056,0
97,192.6657264,5,,1225.9748,3.775
103,192.6657264,27,,1242.899,0
143,192.6657264,50,,1009.5126,0
163,192.6657264,70,,953.4538,0
162,192.6657264,95,,1150.935,1.3062
138,192.6657264,110,,1071.8084,0
