Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39
378.696,702.777,800.059,1324.865,978.206,1082.969,1442.629,1599.778,1404.788,1298.667,1222.713,1151.256,882.894,743.305,696.158,656.514,877.461,756.135,717.493,766.098,714.345,650.033,583.031,726.518,510.76,544.025,703.105,952.088,842.652,1200.628,835.975,870.148,664.034,665.905,604.459,419.89,718.821,504.679,233.051
390.578,695.815,789.721,1310.466,968.716,1080.701,1453.155,1594.167,1389.452,1307.587,1213.583,1135.91,869.76,749.602,699.271,656.907,870.522,744.865,717.393,752.059,706.716,660.099,582.513,736.83,512.356,549.475,701.925,940.569,830.645,1192.949,831.207,859.028,662.007,658.746,591.459,419.856,722.5,497.241,232.375
399.412,683.223,781.522,1300.316,961.725,1078.938,1464.825,1585.881,1369.317,1308.92,1202.2,1124.361,859.904,750.484,700.489,657.279,867.217,738.548,713.179,739.52,700.526,670.033,579.819,749.17,513.644,553.438,698.932,928.095,824.681,1187.234,824.463,846.968,657.534,652.984,582.199,419.11,727.625,490.893,230.824
401.51,670.346,774.279,1292.714,958.353,1074.454,1470.237,1577.571,1348.702,1301.971,1191.687,1115.767,852.462,744.898,698.173,660.014,868.991,736.25,703.9,729.657,696.836,674.861,576.344,760.786,512.144,551.638,694.985,918.307,824.725,1181.467,817.818,837.819,655.479,651.698,578.541,416.863,731.616,484.054,228.25
396.225,661.292,767.11,1286.586,956.373,1065.619,1466.907,1572.159,1331.712,1290.427,1183.461,1105.451,848.279,736.008,692.211,665.643,874.087,734.615,693.521,722.824,694.991,672.166,573.694,765.384,506.317,545.25,692.85,914.759,827.239,1173.088,811.182,832.574,658.596,656.659,578.966,413.719,734.562,476.018,225.544
386.569,655.946,761.485,1283.541,953.48,1053.495,1459.33,1570.389,1320.567,1279.029,1177.183,1091.707,847.587,728.672,683.774,671.529,878.643,731.5,686.114,718.559,694.388,663.205,572.419,760.339,497.596,539.213,694.474,917.905,829.116,1161.73,802.479,829.12,664.829,663.817,580.404,411.466,737.393,467.714,224.603
376.735,652.177,760.529,1286.617,949.294,1043.247,1454.206,1571.27,1314.981,1269.71,1171.809,1078.143,848.067,726.305,674.015,673.843,878.878,727.337,681.743,716.186,694.741,650.49,571.119,749.571,489.654,536.55,698.526,923.153,830.471,1150.445,791.116,825.005,670.315,666.222,580.226,411.411,737.964,461.304,226.346
370.431,649.485,766.309,1295.556,946.598,1040.969,1454.083,1573.278,1312.615,1260.333,1165.609,1069.113,846.606,729.023,664.594,670.521,873.209,723.798,678.379,715.078,695.759,635.331,568.275,739.625,485.356,536.612,701.752,923.927,832.855,1141.584,779.355,820.111,672.568,659.317,577.288,412.164,732.464,458,230.037
369.814,650.662,778.228,1306.466,948.392,1047.567,1457.979,1574.278,1311.096,1248.152,1157.304,1065.94,843.029,734.391,657.398,662.071,862.635,722.837,675.657,713.892,697.259,618.583,563.338,733.866,484.99,537.537,701.504,917.46,836.616,1135.679,770.198,816.268,671.24,644.905,571.884,411.486,719.741,457.732,233.169
374.853,658.6,793.324,1315.549,955.294,1057.484,1463.32,1571.952,1310.519,1233.123,1148.522,1066.15,840.49,739.68,653.669,650.236,850.478,725.096,675.036,711.951,699.293,602.245,556.562,731.732,488.462,539.463,697.414,906.737,839.848,1131.613,765.339,814.69,666.979,629.349,565.185,408.212,703.982,459.491,233.419
381.941,672.538,807.449,1322.211,963.598,1064.845,1466.32,1566.143,1311.942,1218.551,1144.27,1067.015,842.077,743.016,652.677,637.136,840.278,728.51,676.371,709.059,701.897,590.742,548.094,730.107,494.721,543.6,691.722,898.547,839.486,1129.635,765.149,814.181,660.521,617.913,559.377,403.479,691.955,462.696,229.618
385.441,686.985,817.662,1327.241,967.912,1068.144,1463.278,1560.071,1315.5,1208,1149.261,1067.383,847.413,744.617,652.962,624.8,834.017,729.548,677.014,705.235,704.371,588.351,538.281,725.821,501.356,549.713,687.143,896.978,833.804,1129.73,769.876,812.671,653.007,611.897,556.301,399.027,687.777,466.348,222.721
382.284,695.531,823.235,1329.263,964.873,1068.268,1453.948,1558.23,1319.231,1202.304,1162.339,1066.977,852.144,745.148,654.211,614.707,830.574,725.962,674.136,701.716,704.845,595.371,528.463,717.304,504.923,554.838,685.203,899.65,824.188,1131.066,777.372,808.324,645.829,609.556,556.384,396.178,689.821,469.509,215.213
