Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
15.279,29.98001332,8.91,108,,,0,26,68,10939
15.477,29.98001332,7.26,109,,,0,4,40,10180
15.576,29.98001332,8.712,110,,,0,4,36,10912
15.642,29.98001332,9.537,111,,,0,4,36,10855
15.873,29.98001332,12.606,112,,,1,4,36,10403
16.401,29.98001332,4.356,113,,,2,4,36,9232.8
16.368,29.98001332,10.923,114,,,0,4,36,12212
16.599,29.98001332,9.24,115,,,0,4,36,11000
16.83,29.98001332,10.032,116,,,0,4,36,11011
16.929,29.98001332,7.722,117,,,1,4,36,11076
16.929,29.98001332,6.237,118,,,0,4,36,10639
17.391,29.98001332,6.996,119,,,2,4,36,10259
17.919,29.98001332,9.108,120,,,0,4,36,10890
18.117,29.98001332,16.896,121,,,1,4,36,7961.9
18.084,29.98001332,8.481,122,,,0,4,36,10634
18.381,29.98001332,7.326,123,,,0,4,36,11188
18.645,29.98001332,7.722,124,,,2,4,36,9636.4
18.48,29.98001332,13.794,125,,,1,4,36,9456.8
19.008,29.98001332,10.131,126,,,0,4,36,9787.5
19.14,29.98001332,10.824,127,,,1,4,36,9561
19.305,29.98001332,4.554,128,,,2,4,36,9442.3
19.239,29.98001332,8.613,129,,,2,4,36,10062
19.272,29.98001332,16.896,130,,,1,4,36,7890.2
19.338,29.98001332,16.038,131,,,1,4,8,7302.3
20.031,29.98001332,5.775,132,,,1,4,8,9787.5
20.163,29.98001332,8.811,133,,,0,4,8,9951.8
20.229,29.98001332,10.395,134,,,0,4,8,9714.3
20.691,29.98001332,13.134,135,,,1,4,8,9671.9
20.856,29.98001332,3.465,136,,,1,4,8,8789.2
20.889,29.98001332,16.632,137,,,1,4,36,6065.6
21.12,29.98001332,6.237,138,,,2,4,36,8097
22.308,29.98001332,10.461,139,,,0,4,8,7973.3
0.165,29.97001999,12.441,1,,,1,4,8,10785
0.132,29.97001999,5.841,2,,,1,4,8,9084.5
0.264,29.97001999,3.663,3,,,1,4,8,8238.8
0.396,29.97001999,9.537,4,,,1,4,8,12412
0.594,29.97001999,6.105,5,,,1,4,8,9072.2
0.66,29.97001999,1.518,6,,,1,4,8,9801.8
0.825,29.97001999,16.533,7,,,1,4,8,8489.7
0.891,29.97001999,4.356,8,,,0,4,8,9937.5
0.891,29.97001999,2.508,9,,,1,4,10,8703.4
0.99,29.97001999,8.283,10,,,1,4,10,10882
1.023,29.97001999,11.22,11,,,1,4,10,11843
1.188,29.97001999,8.91,12,,,1,4,10,11026
1.353,29.97001999,16.434,13,,,1,4,8,9090
1.419,29.97001999,7.557,14,,,1,4,8,10047
1.782,29.97001999,12.804,15,,,1,4,10,10652
2.211,29.97001999,1.023,16,,,0,4,10,8847.6
2.211,29.97001999,9.768,17,,,0,4,10,12337
2.508,29.97001999,13.035,18,,,1,4,10,11751
2.442,29.97001999,7.392,19,,,0,4,10,9888.9
2.475,29.97001999,2.772,20,,,0,4,10,8409.9
2.64,29.97001999,1.551,21,,,0,4,10,9380
2.772,29.97001999,8.382,22,,,0,4,10,10720
2.805,29.97001999,10.461,23,,,0,4,10,12881
3.531,29.97001999,16.797,24,,,1,4,10,9471.2
3.465,29.97001999,8.019,25,,,0,4,10,11055
3.762,29.97001999,7.128,26,,,0,4,10,12121
3.663,29.97001999,4.785,27,,,0,4,10,10074
3.861,29.97001999,12.276,28,,,0,4,10,11783
3.828,29.97001999,7.92,29,,,1,4,10,12219
4.125,29.97001999,5.511,30,,,0,4,10,10625
4.158,29.97001999,0.462,31,,,1,4,10,8625
4.29,29.97001999,13.959,32,,,1,4,10,11104
