Cell#1,Cell#2,Cell#3,Cell#4,Cell#5,Cell#6,Cell#7,Cell#8,Cell#9,Cell#10,Cell#11,Cell#12,Cell#13,Cell#14,Cell#15,Cell#16,Cell#17,Cell#18,Cell#19,Cell#20,Cell#21,Cell#22,Cell#23,Cell#24,Cell#25,Cell#26,Cell#27,Cell#28,Cell#29,Cell#30,Cell#31,Cell#32,Cell#33,Cell#34,Cell#35,Cell#36,Cell#37,Cell#38,Cell#39,Cell#40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.5334,0,0,3.8358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4888,0,7.2438,0,0,1.791,0,0,0,0,0,0,0.8768,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,0,0,11.3518,0,0,0,0,0,0,0
0,0,6.7936,0,1.1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0,0,0,0
0,0,0,0,0,0,0,0.7886,0,0,0,5.3166,0,0,0,0,2.2692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3392,0,0.077,0,0,0,0,0
2.9334,0.2306,0,1.0516,0,0,0,15.6458,0,0,0,0,13.8462,0,3.304,0,0,0,0,0,4.4702,8.9332,0,7.5518,0,0.5376,0,1.95,0,5.4756,0,0,0,0,0,0,0,0,0,0
10.8278,0,0,0,0,2.8652,7.5906,2.557,14.1294,71.7738,0,12.5834,6.7442,0,19.0784,21.9922,22.0616,0,12.407,15.0646,9.369,0,14.9394,5.782,24.1904,16.6468,45.5596,12.0742,27.0332,9.011,43.5428,0,18.6682,18.9594,5.643,21.9148,2.2914,26.2098,6.5292,7
18.7278,7.3916,7.3938,17.7238,10.0714,0,6.5444,20.057,31.0722,120.9826,8.8896,17.3406,8.0154,0,29.2,29.7018,29.2884,4.0334,19.1614,0,11.0496,10.2262,40.3144,37.3518,106.8668,21.8188,91.3418,17.4194,35.6924,20.0306,127.016,8.4058,5.2178,11.7784,0,43.4884,19.1456,51.6288,6.6876,37.5358
11.1722,0,0,20.6336,2.4608,20.7662,18.127,22.6884,69.5714,114.1064,13.8844,23.9048,2.1904,15.5026,32.8078,45.225,51.15,30.8854,32.8864,16.873,9.563,6.2976,34.484,26.0054,162.4334,16.3188,78.9568,21.6274,39.421,16.5414,169.6392,9.4144,18.9924,23.5524,12.7886,51.4262,31.6342,66.5024,14.021,61.4168
45.2388,0,21.9562,0,0.0106,11.146,6.9014,2.2772,31.4962,79.0686,9.9258,12.169,2.7904,0,16.4352,11.8558,20.5846,30.1458,15.2568,11.8626,6.9896,18.9262,24.959,27.393,147.3262,8.025,73.5166,20.9402,24.3752,15.2,137.243,21.0406,21.4432,11.1072,1.1,38.1114,29.5628,40.5758,13.6478,48.5428
0,0,16.0188,0,3.8304,4.9484,2.762,0,18.824,59.7256,14.9914,2.4238,0,0,3.745,12.2114,11.3386,15.725,3.3228,12.0312,0,1.3668,16.5894,22.4768,102.4118,1.4688,54.3772,11.6386,12.8754,2.8134,114.0196,0,0,4.1072,0,28.6426,17.0544,20.0506,0.9354,16.1858
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7626,0,0,0,3.1786,0,0.568,42.8238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5094
0,0,7.0562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.4612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0024,0,0,0,0,0,0.2272,0
0.261,0,0,0,0,0,0,4.5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8258,0,0,0,0,0
10.2444,0,0,0,0,0.6922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9012,0,2.3744,0,0.3086,0,0,0
0,0,0,4.2764,0,0,1.527,0,0,0,0,0,0,0,0,1.9616,0,0,0,4.4624,0,0,0,4.234,0,10.3936,0,0,0,0,0,0,0,12.5144,0,0,0,0,0,0
0,1.3778,1.2562,11.236,14.9606,8.3146,6.727,11.1456,23.785,124.3766,15.419,25.9928,7.3462,13.4222,20.757,12.7442,14.548,0,24.0726,0.4042,1.0412,0,9.4268,16.3946,38.8524,40.0156,20.1342,9.2564,30.6152,2.784,49.1214,6.739,14.6582,19.5404,18.1484,12.0656,14.1542,39.1916,4.8292,19.2738
4.0388,3.6584,13.6938,27.1888,25.225,21.1934,24.1938,30.4858,30.0946,185.9942,33.0328,11.8096,6.2942,17.3194,22.4216,40.7828,29.1364,20.5542,24.3794,15.25,17.0104,3.7072,26.5606,42.9,74.8334,35.3968,37.4202,28.4484,41.0942,9.3598,115.1018,21.3652,14.8938,19.9666,14.4972,56.2164,26.9084,60.5338,1.8208,58.1666
13.2446,2.989,8.2874,19.2494,18.859,6.5348,14.0302,11.28,30.4556,156.9256,24.6932,32.6166,3.85,10.9472,30.0176,37.125,25.8904,24.1938,25.4704,22.1104,17.2228,0,19.0966,22.9482,94.4784,26.9812,33.1318,22.2404,42.9562,16.1828,137.4286,19.7248,18.7874,32.7214,20.2114,41.2296,33.6256,59.0638,11.602,65.112
13.0446,1.0834,7.3436,9.4426,11.6822,2.4966,10.0302,23.203,28.4,124.914,23.5534,21.4262,6.5212,21.5528,18.4726,30.8386,26.0154,21.4542,20.0772,12.2292,6.3402,12.45,18.2232,34.9554,83.5642,16.0032,28.9544,17.2726,31.6562,18.717,119.7786,17.5218,12.3418,21.3858,5.5028,33.6034,21.6,47.794,9.677,54.4644
13.4,0,22.55,6.9776,13.5392,2.7866,7.335,12.897,20.0602,92.3532,10.1982,11.1856,0,7.4444,30.3942,9.271,23.9846,20.7708,13.0728,8.823,12.6186,0,5.3536,7.9678,63.369,2.0814,18.8556,13.7646,19.2352,10.9866,103.3858,18.0638,23.8758,2.3262,7.7542,16.5214,21.0884,24.1024,6.7688,58.1216
17.25,0.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3454,0,0,0,0,0,0,0,0,0,0,6.5898,0,0,0,0,0,0,9.5048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4.4066,0,0,0,0,0,0,7.0828,0,0,0,0,0,0,0,0,13.1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5094,0,0,0,0,0,0,0,0,0,0,0,0,1.7942,0,0,0,0,0
9.0166,0,9.2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3546,0,0,0,0,0,0,0,0,0,0,12.9594,0,0,0,1.3056,0,0,0
0,1.261,0.1624,0,0,0,10.7064,0,0.555,0,0,0.2524,1.9904,17.1112,12.604,0,2.9096,0,16.3432,0,1.2578,13.869,0,0,0,13.9408,0,0.984,0,0,0,0,9.1848,7.5262,11.3286,0.6524,2.6172,0,0.1354,0
17.1556,0,10.2812,7.2316,11.5876,14.054,18.9824,16.8686,18.967,121.7738,14.6534,8.2618,61.923,61.3112,17.3706,25.7,13.2846,5.3958,21.2388,4.0292,7.0474,14.6334,18.2786,11.9284,12.6334,32.1812,24.2836,8.45,34.8028,14.4646,36.5856,10.7712,37.1594,24.2142,26.2714,11.8098,8.36,50.1038,10.9792,18.8548
8.9056,11.2444,5.5438,28.5078,26.4054,0,27.5572,24.4572,28.2182,173.5928,44.6482,17.8406,57.373,40.7054,10.3804,29.5404,15.6828,16.848,19.6614,20.05,12.2434,15.362,32.9126,39.991,30.2476,28.5126,37.3292,33.2824,41.617,14.9536,101.1768,10.9044,18.2582,22.2168,18.8314,41.2526,19.8456,59.1638,15.4334,26.25
0,9.1222,0,22.182,22.9142,14.0494,26.7476,28.2628,42.3338,172.7502,31.1672,24.1572,53.525,48.375,19.2354,41.8096,11.9096,26.2854,26.0682,16.8332,11.3382,0,33.1286,35.1054,41.7668,23.525,37.1746,25.3792,40.5,16.1586,123.7518,14.513,19.9366,25.2596,25.0514,37.9606,27.0114,54.5688,14.7894,29.5904
0,22.4528,15.5124,23.663,16.868,6.6404,14.9254,22.6886,30.776,135.2072,36.7706,19.0952,46.4136,44.9388,13.349,26.8904,12.125,24.4166,15.7318,16.0854,17.9362,1.6668,24.0088,31.9162,28.4452,20.55,29.643,23.9628,26.381,16.0378,99.7428,19.1042,5.9038,14.993,14.9514,27.8066,8.3686,44.5048,14.5396,17.5
0,8.6446,7.8438,11.2494,12.5464,7.5392,0.4032,11.9228,13.5368,95.8554,17.4706,7.1832,20.7596,28.2222,7.0804,15.702,2.9404,21.6562,1.6932,10.6832,12.7876,0,8.009,13.2786,23.4738,0,12.5444,12.3048,13.9628,3.2866,80.391,21.0666,5.7874,3.5048,1.5714,4.1442,12.4858,27.1952,11.6562,12.9808
12.211,0,16.8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2658,0,0,0,0.417,0,0,0
0,0,3.4062,0,0,0,8.3588,0,8.021,0,1.0396,0,4.629,11.536,24.0314,0,8.698,0,13.6068,3.9334,0.0764,0,0,0,12.6476,8.1156,0,0,0,0.5328,0,0,0,8.619,9.2486,0,0,1.4542,0,6.9976
14.2668,0,13.8126,3.5596,8.8768,12.328,10.3176,18.6486,27.6646,95.0802,17.1326,6.8214,5.2154,56.6666,20.6234,24.1596,33.8826,13.8082,24.9728,0,12.3896,13.15,27.475,14.5786,37.5642,25.9156,60.8862,8.7806,36.2116,16.1024,50.2696,8.4984,38.3444,20.9192,20.7856,18.6918,19.7372,47.847,14.698,16.962
7.65,25.4028,17.0124,22.4584,16.959,20.0832,15.3,19.8714,41.233,145.9518,34.6346,25.3262,0,63.0444,19.2626,33.171,40.8596,26.5042,23.934,12.498,16.1422,8.9572,29.8856,34.5018,44.1072,28.8124,66.1594,22.584,45.3,24.9134,104.1,16.1796,29.8406,20.8856,20.9028,42.1312,17.977,64.3216,13.3146,32.4406
14.5556,13.7696,17.4062,17.3618,12.5534,15.191,8.3872,7.8886,39.5716,122.4364,90.3344,13.05,5.8096,55.0112,16.8412,30.723,34.0442,38.4064,24.6774,16.529,17.1422,13.3856,37.5804,19,65.1856,20.2156,63.8228,21.4016,39.08,24.5124,125.0054,8.4494,39.6962,22.2524,14.9944,43.5638,32.5772,55.2952,18.3,38.519
0,19.189,0,18.9348,4.8964,14.1078,8.503,4.8972,34.1112,113.7402,98.0828,18.1168,6.3192,36.1528,8.1078,33.4172,20.725,26.8104,5.5772,12.5646,16.8124,17.8594,26.1928,36.4964,41.0548,23.1406,52.9442,26.3308,22.1742,19.783,108.0178,11.5014,0,15.5546,12.2542,30.1672,9.3744,44.8698,9.6542,17.4784
0,15.6944,0,8.1798,8.1856,7.9708,0,11.1656,25.9716,70.9724,67.7,8.888,0,18.7084,10.6372,9.0884,14.4558,31.0644,10.7614,3.4042,0.1422,0,14.9196,10.05,22.5524,0,42.2356,9.2872,20.4372,8.1172,92.9714,14.6492,24.6938,0.2858,11.0314,28.531,17.4542,23.783,14.4814,13.2832
