cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
-9.8834,0.8554,-20.9188,3.618,-3.9696,-5.0832,2.5906,4.5114,-3.4738,-0.978,-4.1172,-4.8572,-0.8152,3.2888,3.0688,-1.8116,-4.7462,-10.5584,4.0136,1.6146,-0.2288,-2.969,-0.5178,3.509,-1.862,8.2438,-3.648,-0.5064,3.2944,-2.9122,-5.8412,-7.1798,-5.9722,-1.1524,1.5886,-4.8262,-3.98,-2.0278,-1.6584,0.7356
0.2388,-0.7834,10.4186,2.7484,-0.2072,-2.3078,12.0602,7.9828,1.6962,5.3678,8.3484,2.8548,14.7038,5.9472,1.9078,5.9788,-0.8,-2.6332,0.6956,-3.4354,0.1566,18.0976,20.2,-1.1662,4.6714,23.3032,-2.1974,8.1952,11.9542,10.9232,-4.8304,-0.2984,-14.633,14.4478,15.5458,1.3868,-0.643,7.7748,2.8292,-7.9168
-10.8946,1.4306,9.9374,8.4606,12.9644,16.146,35.0842,31.7856,63.7398,199.6394,61.3724,25.881,10.7634,98.3946,49.5686,57.5904,55.498,25.0938,54.6658,21.8,15.8474,11.1214,54.4374,36.55,74.6096,44.4876,64.914,23.4984,68.4218,17.9318,142.0302,15.5014,26.6076,52.6192,52.7228,56.1738,29.9228,148.3976,26.1186,36.762
9.0444,8.5082,8.5626,32.71,36.3108,26.1012,40.2286,48.82,97.176,275.5066,165.0104,42.5928,20.6596,117.0334,45.047,72.9018,73.373,108.2604,49.1862,30.75,27.6702,29.9428,73.0856,56.8678,122.5072,58.6532,76.4506,49.6806,79.9504,35.9806,240.1518,69.9942,50.4178,54.5668,42.9544,69.9116,47.8972,187.8156,32.2666,71.2476
21.1,20.5416,21.2438,50.6764,31.6126,25.256,29.1112,33.4886,101.5234,257.1372,175.2932,48.0334,12.725,121.6946,54.4982,64.348,59.1616,127.854,60.3612,31.3916,19.1114,12.1952,65.691,67.3678,135.257,45.975,73.319,52.887,75.3752,33.217,258.2946,78.3566,41.1974,48.4,57.6544,97.4786,43.0342,171.2096,37.7104,78.8166
24.8834,17.6972,33.85,36.1102,26.2928,30.6428,24.1016,34.2056,85.1174,202.0716,135.9292,38.6358,17.946,95.1112,32.6528,48.8308,45.4404,118.3812,40.7228,29.3584,26.0124,26.8976,54.466,38.9714,111.9786,36.9624,68.5418,30.6532,61.9828,27.8988,226.1268,88.8088,50.838,37.5166,39.363,68.4392,43.14,138.0578,40.2312,82.2334
-3.0888,11.6362,0.8938,30.1326,24.45,12.319,14.4588,26.8514,50.015,164.2834,109.8896,28.0976,-0.2018,57.5222,13.3196,29.9848,25.3424,90.2686,13.9522,21.7624,29.8516,2.6286,17.209,51.7144,82.919,12.178,46.8886,22.5306,37.859,17.1706,184.9036,56.4928,21.2684,9.9166,8.64,44.5016,28.6458,91.4638,21.8666,54.062
18.3556,22.539,14.7626,17.391,4.3392,-5.4426,-14.227,-17.9514,-22.463,-79.9898,36.657,-0.7024,6.0616,-39.4946,-29.296,-29.0096,-36.9056,54.0188,-29.4568,-2.4626,-4.7588,10.719,-18.0232,2.4768,-10.9572,-24.2564,-16.443,1.0854,-30.3638,-7.022,-3.0892,31.4146,-4.5368,-34.8072,-27.68,-29.1378,-0.3914,-75.0096,4.9356,6.4142
-17.1332,8.2862,-2.5438,-15.164,-14.6822,-16.4854,-18.9762,-31.2286,-59.0482,-171.5548,-89.7414,-35.5332,-0.1116,-54.0916,-36.4352,-44.4384,-63.0018,-51.9584,-27.725,-9.0646,-6.8042,3.8,-49.95,-27.7322,-71.0548,-29.122,-44.3518,-28.8096,-51.2048,-21.6244,-119.6554,-39.632,-48.3064,-31.6644,-31.0714,-46.9574,-27.86,-122.5072,-19.9916,-46.6858
-5.0612,-0.825,-9.2812,-38.0066,-16.475,-3.3618,-16.4,-27.9286,-65.7458,-188.546,-116.381,-23.581,-2.2962,-66.2556,-40.453,-44.7864,-44.927,-72.9896,-36.3772,-13.123,-10.233,-5.3214,-44.4464,-58.7338,-87.3238,-26.0626,-50.4,-36.8886,-57.2704,-25.489,-161.4178,-43.8406,-18.8582,-28.7214,-28.54,-63.8884,-21.3972,-115.0904,-19.377,-49.4976
