Points0,Points1,Points2,,intensity,filtered
118,389.8448519,17,,965.023,0
149,389.8448519,38,,823.6536,0
194,389.8448519,154,,869.4358,10.1
55,389.8448519,167,,744.4054,1.043
59,389.8448519,96,,1082.1928,0
83,389.8448519,119,,910.6478,0
111,389.8448519,175,,692.9,0
81,389.8448519,156,,628.9926,0
97,389.8448519,59,,1192.4578,3.6418
27,389.8448519,142,,901.0066,0
80,389.8448519,66,,1121.3912,2.7316
70,389.8448519,124,,804.4176,0
61,389.8448519,26,,911.2956,0
139,389.8448519,58,,1075.6988,2.9848
137,389.8448519,163,,749.7214,0.5834
169,389.8448519,131,,738.24,1.6686
0,389.8448519,127,,1212.6132,0
68,389.8448519,66,,858.0572,0
52,389.8448519,144,,857.4324,3.5108
183,389.8448519,94,,705.8522,4.4042
57,389.8448519,61,,1003.081,0
94,388.7165021,0,,1325.561,0
174,388.7165021,8,,945.039,0
97,388.7165021,5,,1241.0562,0
103,388.7165021,27,,1256.8562,0
143,388.7165021,50,,1031.9698,1.8536
163,388.7165021,70,,964.7144,7.773
162,388.7165021,95,,1158.1272,0.1462
138,388.7165021,110,,1084.4886,2.4114
107,388.7165021,117,,1091.9684,0
97,388.7165021,104,,927.562,0
114,388.7165021,93,,903.2294,0
121,388.7165021,75,,1067.562,0
178,388.7165021,153,,761.569,0
148,388.7165021,176,,737.8972,0
7,388.7165021,178,,1070.9018,0
2,388.7165021,168,,1056.331,0
17,388.7165021,116,,1184.7944,0
31,388.7165021,41,,1081.2062,0
116,388.7165021,146,,769.625,9.116
118,388.7165021,17,,966.6564,1.6334
149,388.7165021,38,,826.3958,2.7422
194,388.7165021,154,,864.7334,0
55,388.7165021,167,,749.6912,5.2858
59,388.7165021,96,,1083.6286,1.4358
83,388.7165021,119,,908.893,0
111,388.7165021,175,,697.1094,4.2094
81,388.7165021,156,,633.9596,4.967
97,388.7165021,59,,1176.1934,0
27,388.7165021,142,,899.6638,0
80,388.7165021,66,,1123.2644,1.8732
70,388.7165021,124,,798.573,0
61,388.7165021,26,,907.884,0
139,388.7165021,58,,1085.4128,9.714
137,388.7165021,163,,755.3142,5.5928
169,388.7165021,131,,737.5742,0
0,388.7165021,127,,1211.718,0
68,388.7165021,66,,856.8742,0
52,388.7165021,144,,860.5312,3.0988
183,388.7165021,94,,699.2,0
57,388.7165021,61,,1006.2454,3.1644
94,387.5881523,0,,1323.9722,0
174,387.5881523,8,,934.0556,0
97,387.5881523,5,,1254.4998,13.4436
103,387.5881523,27,,1240.7282,0
143,387.5881523,50,,1027.1984,0
163,387.5881523,70,,959.3728,0
162,387.5881523,95,,1147.8416,0
138,387.5881523,110,,1088.38,3.8914
107,387.5881523,117,,1081.9156,0
97,387.5881523,104,,918.6964,0
114,387.5881523,93,,899.0812,0
121,387.5881523,75,,1063.1214,0
178,387.5881523,153,,751.444,0
148,387.5881523,176,,724.3444,0
7,387.5881523,178,,1046.8272,0
2,387.5881523,168,,1058.7752,2.4442
17,387.5881523,116,,1178.3886,0
31,387.5881523,41,,1075.179,0
116,387.5881523,146,,757.9864,0
118,387.5881523,17,,960.996,0
149,387.5881523,38,,830.138,3.7422
194,387.5881523,154,,862.881,0
55,387.5881523,167,,756.7002,7.009
59,387.5881523,96,,1081.0698,0
83,387.5881523,119,,913.0072,4.1142
111,387.5881523,175,,702.4718,5.3624
81,387.5881523,156,,627.6228,0
97,387.5881523,59,,1175.716,0
27,387.5881523,142,,896.4734,0
80,387.5881523,66,,1119.651,0
70,387.5881523,124,,790.7194,0
61,387.5881523,26,,902.8608,0
139,387.5881523,58,,1078.6128,0
137,387.5881523,163,,745.988,0
169,387.5881523,131,,730.4428,0
0,387.5881523,127,,1221.636,9.918
68,387.5881523,66,,856.5742,0
52,387.5881523,144,,859.6638,0
183,387.5881523,94,,698.0478,0
57,387.5881523,61,,1003.3264,0
94,386.4598025,0,,1285.8556,0
174,386.4598025,8,,938.9472,4.8916
97,386.4598025,5,,1222.1998,0
103,386.4598025,27,,1243.4474,2.7192
143,386.4598025,50,,1020.3984,0
163,386.4598025,70,,953.501,0
162,386.4598025,95,,1149.6288,1.7872
138,386.4598025,110,,1079.8942,0
107,386.4598025,117,,1071.9216,0
97,386.4598025,104,,915.0162,0
114,386.4598025,93,,895.988,0
121,386.4598025,75,,1044.1596,0
178,386.4598025,153,,737.8114,0
148,386.4598025,176,,716.8888,0
7,386.4598025,178,,1037.5448,0
2,386.4598025,168,,1059.9752,1.2
17,386.4598025,116,,1166.8886,0
31,386.4598025,41,,1070.1666,0
116,386.4598025,146,,752.6138,0
118,386.4598025,17,,951.871,0
149,386.4598025,38,,825.266,0
194,386.4598025,154,,848.2048,0
55,386.4598025,167,,753.1574,0
59,386.4598025,96,,1082.9304,1.8606
83,386.4598025,119,,897.9382,0
111,386.4598025,175,,705.903,3.4312
81,386.4598025,156,,625.6328,0
97,386.4598025,59,,1176.1016,0.3856
27,386.4598025,142,,891.9972,0
80,386.4598025,66,,1112.562,0
70,386.4598025,124,,792.0642,1.3448
61,386.4598025,26,,900.3652,0
139,386.4598025,58,,1059.2888,0
137,386.4598025,163,,741.0238,0
169,386.4598025,131,,729.3284,0
0,386.4598025,127,,1211.8852,0
68,386.4598025,66,,840.9,0
52,386.4598025,144,,858.9554,0
183,386.4598025,94,,691.7812,0
57,386.4598025,61,,993.3836,0
94,385.3314528,0,,1286.6612,0.8056
174,385.3314528,8,,926.4056,0
97,385.3314528,5,,1225.9748,3.775
103,385.3314528,27,,1242.899,0
143,385.3314528,50,,1009.5126,0
163,385.3314528,70,,953.4538,0
162,385.3314528,95,,1150.935,1.3062
