Points0,Points1,Points2,,intensity,filtered,timeframe,cell
83,29.15373766,119,,908.893,0,11,25
111,29.15373766,175,,697.1094,4.2094,11,26
81,29.15373766,156,,633.9596,4.967,11,27
97,29.15373766,59,,1176.1934,0,11,28
27,29.15373766,142,,899.6638,0,11,29
80,29.15373766,66,,1123.2644,1.8732,11,30
70,29.15373766,124,,798.573,0,11,31
61,29.15373766,26,,907.884,0,11,32
139,29.15373766,58,,1085.4128,9.714,11,33
137,29.15373766,163,,755.3142,5.5928,11,34
169,29.15373766,131,,737.5742,0,11,35
0,29.15373766,127,,1211.718,0,11,36
68,29.15373766,66,,856.8742,0,11,37
52,29.15373766,144,,860.5312,3.0988,11,38
183,29.15373766,94,,699.2,0,11,39
57,29.15373766,61,,1006.2454,3.1644,11,40
94,29.06911142,0,,1323.9722,0,12,1
174,29.06911142,8,,934.0556,0,12,2
97,29.06911142,5,,1254.4998,13.4436,12,3
103,29.06911142,27,,1240.7282,0,12,4
143,29.06911142,50,,1027.1984,0,12,5
163,29.06911142,70,,959.3728,0,12,6
162,29.06911142,95,,1147.8416,0,12,7
138,29.06911142,110,,1088.38,3.8914,12,8
107,29.06911142,117,,1081.9156,0,12,9
97,29.06911142,104,,918.6964,0,12,10
114,29.06911142,93,,899.0812,0,12,11
121,29.06911142,75,,1063.1214,0,12,12
178,29.06911142,153,,751.444,0,12,13
148,29.06911142,176,,724.3444,0,12,14
7,29.06911142,178,,1046.8272,0,12,15
2,29.06911142,168,,1058.7752,2.4442,12,16
17,29.06911142,116,,1178.3886,0,12,17
31,29.06911142,41,,1075.179,0,12,18
116,29.06911142,146,,757.9864,0,12,19
118,29.06911142,17,,960.996,0,12,20
149,29.06911142,38,,830.138,3.7422,12,21
194,29.06911142,154,,862.881,0,12,22
55,29.06911142,167,,756.7002,7.009,12,23
59,29.06911142,96,,1081.0698,0,12,24
83,29.06911142,119,,913.0072,4.1142,12,25
111,29.06911142,175,,702.4718,5.3624,12,26
81,29.06911142,156,,627.6228,0,12,27
97,29.06911142,59,,1175.716,0,12,28
27,29.06911142,142,,896.4734,0,12,29
80,29.06911142,66,,1119.651,0,12,30
70,29.06911142,124,,790.7194,0,12,31
61,29.06911142,26,,902.8608,0,12,32
139,29.06911142,58,,1078.6128,0,12,33
137,29.06911142,163,,745.988,0,12,34
169,29.06911142,131,,730.4428,0,12,35
0,29.06911142,127,,1221.636,9.918,12,36
68,29.06911142,66,,856.5742,0,12,37
52,29.06911142,144,,859.6638,0,12,38
183,29.06911142,94,,698.0478,0,12,39
57,29.06911142,61,,1003.3264,0,12,40
94,28.98448519,0,,1285.8556,0,13,1
174,28.98448519,8,,938.9472,4.8916,13,2
97,28.98448519,5,,1222.1998,0,13,3
103,28.98448519,27,,1243.4474,2.7192,13,4
143,28.98448519,50,,1020.3984,0,13,5
163,28.98448519,70,,953.501,0,13,6
162,28.98448519,95,,1149.6288,1.7872,13,7
138,28.98448519,110,,1079.8942,0,13,8
107,28.98448519,117,,1071.9216,0,13,9
97,28.98448519,104,,915.0162,0,13,10
114,28.98448519,93,,895.988,0,13,11
121,28.98448519,75,,1044.1596,0,13,12
178,28.98448519,153,,737.8114,0,13,13
148,28.98448519,176,,716.8888,0,13,14
7,28.98448519,178,,1037.5448,0,13,15
2,28.98448519,168,,1059.9752,1.2,13,16
17,28.98448519,116,,1166.8886,0,13,17
31,28.98448519,41,,1070.1666,0,13,18
116,28.98448519,146,,752.6138,0,13,19
118,28.98448519,17,,951.871,0,13,20
149,28.98448519,38,,825.266,0,13,21
194,28.98448519,154,,848.2048,0,13,22
55,28.98448519,167,,753.1574,0,13,23
59,28.98448519,96,,1082.9304,1.8606,13,24
83,28.98448519,119,,897.9382,0,13,25
111,28.98448519,175,,705.903,3.4312,13,26
81,28.98448519,156,,625.6328,0,13,27
97,28.98448519,59,,1176.1016,0.3856,13,28
27,28.98448519,142,,891.9972,0,13,29
80,28.98448519,66,,1112.562,0,13,30
70,28.98448519,124,,792.0642,1.3448,13,31
61,28.98448519,26,,900.3652,0,13,32
139,28.98448519,58,,1059.2888,0,13,33
137,28.98448519,163,,741.0238,0,13,34
169,28.98448519,131,,729.3284,0,13,35
0,28.98448519,127,,1211.8852,0,13,36
68,28.98448519,66,,840.9,0,13,37
52,28.98448519,144,,858.9554,0,13,38
183,28.98448519,94,,691.7812,0,13,39
57,28.98448519,61,,993.3836,0,13,40
94,28.89985896,0,,1286.6612,0.8056,14,1
174,28.89985896,8,,926.4056,0,14,2
97,28.89985896,5,,1225.9748,3.775,14,3
103,28.89985896,27,,1242.899,0,14,4
143,28.89985896,50,,1009.5126,0,14,5
163,28.89985896,70,,953.4538,0,14,6
162,28.89985896,95,,1150.935,1.3062,14,7
138,28.89985896,110,,1071.8084,0,14,8
107,28.89985896,117,,1070.902,0,14,9
97,28.89985896,104,,910.0278,0,14,10
114,28.89985896,93,,896.4568,0.4688,14,11
121,28.89985896,75,,1033.5714,0,14,12
178,28.89985896,153,,733.9826,0,14,13
148,28.89985896,176,,706.5888,0,14,14
7,28.89985896,178,,1039.9724,2.4276,14,15
2,28.89985896,168,,1057.2464,0,14,16
17,28.89985896,116,,1165.6194,0,14,17
31,28.89985896,41,,1066.8062,0,14,18
116,28.89985896,146,,755.7228,3.109,14,19
118,28.89985896,17,,951.5168,0,14,20
149,28.89985896,38,,816.9588,0,14,21
194,28.89985896,154,,843.0358,0,14,22
55,28.89985896,167,,758.0252,4.8678,14,23
59,28.89985896,96,,1076.7982,0,14,24
83,28.89985896,119,,899.9738,2.0356,14,25
111,28.89985896,175,,703.978,0,14,26
81,28.89985896,156,,621.2986,0,14,27
97,28.89985896,59,,1171.134,0,14,28
27,28.89985896,142,,887.2668,0,14,29
80,28.89985896,66,,1102.0998,0,14,30
70,28.89985896,124,,788.9054,0,14,31
61,28.89985896,26,,902.5564,2.1912,14,32
139,28.89985896,58,,1061.6356,2.3468,14,33
137,28.89985896,163,,740.7,0,14,34
169,28.89985896,131,,719.0714,0,14,35
0,28.89985896,127,,1212.3902,0.505,14,36
68,28.89985896,66,,845.0744,4.1744,14,37
52,28.89985896,144,,855.3614,0,14,38
183,28.89985896,94,,685.8082,0,14,39
57,28.89985896,61,,996.9668,3.5832,14,40
94,28.81523272,0,,1279.9556,0,15,1
174,28.81523272,8,,916.6416,0,15,2
97,28.81523272,5,,1205.1,0,15,3
103,28.81523272,27,,1241.4114,0,15,4
143,28.81523272,50,,1005.4696,0,15,5
163,28.81523272,70,,953.1078,0,15,6
162,28.81523272,95,,1149.2334,0,15,7
138,28.81523272,110,,1064.9256,0,15,8
107,28.81523272,117,,1072.663,1.761,15,9
97,28.81523272,104,,901.5928,0,15,10
114,28.81523272,93,,897.4792,1.0224,15,11
121,28.81523272,75,,1033.9858,0.4144,15,12
178,28.81523272,153,,726.0536,0,15,13
148,28.81523272,176,,697.311,0,15,14
7,28.81523272,178,,1039.5724,0,15,15
2,28.81523272,168,,1053.729,0,15,16
