Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
116,69.7,146,,761.5728,0,7,19,1
118,69.7,17,,969.0852,0,7,20,0
149,69.7,38,,825.0082,0,7,21,1
194,69.7,154,,860.6334,2.4928,7,22,2
55,69.7,167,,753.0892,0,7,23,1
59,69.7,96,,1091.3516,0,7,24,1
83,69.7,119,,908.8312,0,7,25,1
111,69.7,175,,707.053,0,7,26,3
81,69.7,156,,635.2762,1.962,7,27,1
97,69.7,59,,1198.316,0,7,28,2
27,69.7,142,,923.6248,0,7,29,2
80,69.7,66,,1114.1634,0,7,30,2
70,69.7,124,,828.9606,0,7,31,1
61,69.7,26,,931.2784,0,7,32,1
139,69.7,58,,1060.9342,5.8836,7,33,1
137,69.7,163,,753.7572,1.5976,7,34,1
169,69.7,131,,732.9258,0,7,35,1
0,69.7,127,,1232.2918,0,7,36,1
68,69.7,66,,861.2544,1.7314,7,37,3
52,69.7,144,,857.365,0,7,38,1
183,69.7,94,,699.4188,0,7,39,3
57,69.7,61,,1003.338,0,7,40,1
94,69.5,0,,1318.889,3.9722,8,1,1
174,69.5,8,,966.003,0,8,2,1
97,69.5,5,,1250.3124,0,8,3,3
103,69.5,27,,1282.7482,0,8,4,1
143,69.5,50,,1040.8428,0,8,5,1
163,69.5,70,,953.3798,0,8,6,3
162,69.5,95,,1168.6238,0,8,7,3
138,69.5,110,,1077.1686,1.8344,8,8,2
107,69.5,117,,1103.1368,0,8,9,1
97,69.5,104,,931.2424,0,8,10,1
114,69.5,93,,918.95,0,8,11,1
121,69.5,75,,1060.9072,0.3952,8,12,2
178,69.5,153,,805.6112,0,8,13,1
148,69.5,176,,743.75,0.9972,8,14,1
7,69.5,178,,1065.2668,1.0058,8,15,1
2,69.5,168,,1072.802,0,8,16,1
17,69.5,116,,1181.7308,0,8,17,1
31,69.5,41,,1079.5604,0,8,18,2
116,69.5,146,,760.3908,0,8,19,1
118,69.5,17,,966.4874,0,8,20,1
149,69.5,38,,817.0082,0,8,21,1
194,69.5,154,,861.8596,1.2262,8,22,1
55,69.5,167,,750.0874,0,8,23,0
59,69.5,96,,1090.9034,0,8,24,3
83,69.5,119,,903.6502,0,8,25,3
111,69.5,175,,707.175,0.122,8,26,1
81,69.5,156,,638.0458,2.7696,8,27,3
97,69.5,59,,1190.4128,0,8,28,1
27,69.5,142,,916.5334,0,8,29,1
80,69.5,66,,1114.4646,0.3012,8,30,2
70,69.5,124,,818.5588,0,8,31,3
61,69.5,26,,924.3972,0,8,32,1
139,69.5,58,,1062.362,1.4278,8,33,1
137,69.5,163,,755.75,1.9928,8,34,1
169,69.5,131,,724.9544,0,8,35,1
0,69.5,127,,1225.987,0,8,36,1
68,69.5,66,,860.2858,0,8,37,3
52,69.5,144,,851.524,0,8,38,3
183,69.5,94,,699.6938,0.275,8,39,1
57,69.5,61,,996.3952,0,8,40,1
94,69.3,0,,1324.15,5.261,9,1,2
174,69.3,8,,959.3474,0,9,2,1
97,69.3,5,,1248.525,0,9,3,1
103,69.3,27,,1272.5348,0,9,4,3
143,69.3,50,,1040.3322,0,9,5,1
163,69.3,70,,966.2876,12.9078,9,6,1
162,69.3,95,,1165.9984,0,9,7,1
138,69.3,110,,1083.0086,5.84,9,8,2
107,69.3,117,,1104.77,1.6332,9,9,1
97,69.3,104,,934.273,3.0306,9,10,2
114,69.3,93,,912.6586,0,9,11,2
121,69.3,75,,1070.5358,9.6286,9,12,1
178,69.3,153,,785.2496,0,9,13,1
148,69.3,176,,745.4362,1.6862,9,14,1
7,69.3,178,,1073.5354,8.2686,9,15,1
2,69.3,168,,1069.4232,0,9,16,1
17,69.3,116,,1194.2154,12.4846,9,17,2
31,69.3,41,,1087.2604,7.7,9,18,1
116,69.3,146,,767.4318,7.041,9,19,0
118,69.3,17,,966.3542,0,9,20,3
149,69.3,38,,829.3484,12.3402,9,21,3
194,69.3,154,,859.3358,0,9,22,1
55,69.3,167,,743.3624,0,9,23,1
59,69.3,96,,1089.1874,0,9,24,1
83,69.3,119,,910.755,7.1048,9,25,1
111,69.3,175,,697.9532,0,9,26,1
81,69.3,156,,632.5572,0,9,27,3
97,69.3,59,,1188.816,0,9,28,1
27,69.3,142,,912.3676,0,9,29,3
80,69.3,66,,1118.6596,4.195,9,30,1
70,69.3,124,,817.098,0,9,31,1
61,69.3,26,,918.4088,0,9,32,3
139,69.3,58,,1072.714,10.352,9,33,2
137,69.3,163,,749.138,0,9,34,1
169,69.3,131,,736.5714,11.617,9,35,3
0,69.3,127,,1219.7836,0,9,36,2
68,69.3,66,,859.7228,0,9,37,1
52,69.3,144,,853.9216,2.3976,9,38,1
183,69.3,94,,701.448,1.7542,9,39,1
57,69.3,61,,1005.769,9.3738,9,40,2
94,69.1,0,,1334.9222,10.7722,10,1,2
174,69.1,8,,948.0752,0,10,2,0
97,69.1,5,,1255.5874,7.0624,10,3,1
103,69.1,27,,1257.8808,0,10,4,2
143,69.1,50,,1030.1162,0,10,5,1
163,69.1,70,,956.9414,0,10,6,1
162,69.1,95,,1157.981,0,10,7,1
138,69.1,110,,1082.0772,0,10,8,1
107,69.1,117,,1097.1894,0,10,9,2
97,69.1,104,,928.5984,0,10,10,0
114,69.1,93,,906.9708,0,10,11,1
121,69.1,75,,1067.7024,0,10,12,1
178,69.1,153,,772.5036,0,10,13,1
148,69.1,176,,743.4084,0,10,14,1
7,69.1,178,,1073.598,0.0626,10,15,1
2,69.1,168,,1067.4022,0,10,16,1
17,69.1,116,,1190.8252,0,10,17,2
31,69.1,41,,1085.1104,0,10,18,2
116,69.1,146,,760.509,0,10,19,1
118,69.1,17,,965.023,0,10,20,1
149,69.1,38,,823.6536,0,10,21,3
194,69.1,154,,869.4358,10.1,10,22,1
55,69.1,167,,744.4054,1.043,10,23,1
59,69.1,96,,1082.1928,0,10,24,1
83,69.1,119,,910.6478,0,10,25,1
111,69.1,175,,692.9,0,10,26,1
81,69.1,156,,628.9926,0,10,27,1
97,69.1,59,,1192.4578,3.6418,10,28,2
27,69.1,142,,901.0066,0,10,29,1
80,69.1,66,,1121.3912,2.7316,10,30,2
70,69.1,124,,804.4176,0,10,31,2
61,69.1,26,,911.2956,0,10,32,1
139,69.1,58,,1075.6988,2.9848,10,33,1
137,69.1,163,,749.7214,0.5834,10,34,1
169,69.1,131,,738.24,1.6686,10,35,1
0,69.1,127,,1212.6132,0,10,36,2
68,69.1,66,,858.0572,0,10,37,1
52,69.1,144,,857.4324,3.5108,10,38,2
183,69.1,94,,705.8522,4.4042,10,39,1
57,69.1,61,,1003.081,0,10,40,0
94,68.9,0,,1325.561,0,11,1,1
174,68.9,8,,945.039,0,11,2,1
97,68.9,5,,1241.0562,0,11,3,1
103,68.9,27,,1256.8562,0,11,4,2
143,68.9,50,,1031.9698,1.8536,11,5,1
163,68.9,70,,964.7144,7.773,11,6,2
162,68.9,95,,1158.1272,0.1462,11,7,2
138,68.9,110,,1084.4886,2.4114,11,8,1
107,68.9,117,,1091.9684,0,11,9,1
97,68.9,104,,927.562,0,11,10,1
114,68.9,93,,903.2294,0,11,11,2
121,68.9,75,,1067.562,0,11,12,1
178,68.9,153,,761.569,0,11,13,0
148,68.9,176,,737.8972,0,11,14,1
7,68.9,178,,1070.9018,0,11,15,3
2,68.9,168,,1056.331,0,11,16,1
17,68.9,116,,1184.7944,0,11,17,3
31,68.9,41,,1081.2062,0,11,18,1
116,68.9,146,,769.625,9.116,11,19,3
118,68.9,17,,966.6564,1.6334,11,20,1
149,68.9,38,,826.3958,2.7422,11,21,1
194,68.9,154,,864.7334,0,11,22,1
55,68.9,167,,749.6912,5.2858,11,23,3
59,68.9,96,,1083.6286,1.4358,11,24,2
83,68.9,119,,908.893,0,11,25,1
111,68.9,175,,697.1094,4.2094,11,26,2
81,68.9,156,,633.9596,4.967,11,27,1
97,68.9,59,,1176.1934,0,11,28,1
27,68.9,142,,899.6638,0,11,29,1
80,68.9,66,,1123.2644,1.8732,11,30,3
70,68.9,124,,798.573,0,11,31,3
61,68.9,26,,907.884,0,11,32,2
139,68.9,58,,1085.4128,9.714,11,33,2
137,68.9,163,,755.3142,5.5928,11,34,0
169,68.9,131,,737.5742,0,11,35,1
0,68.9,127,,1211.718,0,11,36,3
68,68.9,66,,856.8742,0,11,37,1
52,68.9,144,,860.5312,3.0988,11,38,1
183,68.9,94,,699.2,0,11,39,2
57,68.9,61,,1006.2454,3.1644,11,40,1
94,68.7,0,,1323.9722,0,12,1,1
174,68.7,8,,934.0556,0,12,2,1
97,68.7,5,,1254.4998,13.4436,12,3,1
103,68.7,27,,1240.7282,0,12,4,1
143,68.7,50,,1027.1984,0,12,5,3
163,68.7,70,,959.3728,0,12,6,3
162,68.7,95,,1147.8416,0,12,7,3
138,68.7,110,,1088.38,3.8914,12,8,1
107,68.7,117,,1081.9156,0,12,9,2
97,68.7,104,,918.6964,0,12,10,1
114,68.7,93,,899.0812,0,12,11,1
121,68.7,75,,1063.1214,0,12,12,1
178,68.7,153,,751.444,0,12,13,3
148,68.7,176,,724.3444,0,12,14,1
7,68.7,178,,1046.8272,0,12,15,1
2,68.7,168,,1058.7752,2.4442,12,16,1
17,68.7,116,,1178.3886,0,12,17,1
31,68.7,41,,1075.179,0,12,18,1
116,68.7,146,,757.9864,0,12,19,2
